p_height,p_length,p_width
0.18,0,0
0.09,0,0.05
0.14,0,0.11
0.07,0,0.16
0.11,0,0.21
0.15,0,0.26
0.13,0,0.32
0.13,0,0.37
0.18,0,0.42
0.16,0,0.47
0.2,0,0.53
0.21,0,0.58
0.21,0,0.63
0.2,0,0.68
0.21,0,0.74
0.14,0,0.79
0.06,0,0.84
0.17,0,0.89
0.22,0,0.95
0.18,0,1
0.19,0.05,0
0.13,0.05,0.05
0.13,0.05,0.11
0.12,0.05,0.16
0.17,0.05,0.21
0.16,0.05,0.26
0.18,0.05,0.32
0.13,0.05,0.37
0.18,0.05,0.42
0.2,0.05,0.47
0.22,0.05,0.53
0.23,0.05,0.58
0.22,0.05,0.63
0.2,0.05,0.68
0.19,0.05,0.74
0.18,0.05,0.79
0.13,0.05,0.84
0.16,0.05,0.89
0.28,0.05,0.95
0.26,0.05,1
0.15,0.11,0
0.15,0.11,0.05
0.14,0.11,0.11
0.09,0.11,0.16
0.17,0.11,0.21
0.18,0.11,0.26
0.24,0.11,0.32
0.16,0.11,0.37
0.18,0.11,0.42
0.19,0.11,0.47
0.19,0.11,0.53
0.22,0.11,0.58
0.18,0.11,0.63
0.22,0.11,0.68
0.22,0.11,0.74
0.2,0.11,0.79
0.19,0.11,0.84
0.23,0.11,0.89
0.3,0.11,0.95
0.28,0.11,1
0.18,0.16,0
0.18,0.16,0.05
0.02,0.16,0.11
0.02,0.16,0.16
0.11,0.16,0.21
0.11,0.16,0.26
0.19,0.16,0.32
0.25,0.16,0.37
0.23,0.16,0.42
0.2,0.16,0.47
0.22,0.16,0.53
0.24,0.16,0.58
0.22,0.16,0.63
0.22,0.16,0.68
0.23,0.16,0.74
0.2,0.16,0.79
0.21,0.16,0.84
0.27,0.16,0.89
0.31,0.16,0.95
0.2,0.16,1
0.22,0.21,0
0.13,0.21,0.05
0.02,0.21,0.11
0.01,0.21,0.16
0.02,0.21,0.21
0.02,0.21,0.26
0.17,0.21,0.32
0.21,0.21,0.37
0.22,0.21,0.42
0.24,0.21,0.47
0.19,0.21,0.53
0.22,0.21,0.58
0.21,0.21,0.63
0.22,0.21,0.68
0.24,0.21,0.74
0.14,0.21,0.79
0.17,0.21,0.84
0.16,0.21,0.89
0.18,0.21,0.95
0.2,0.21,1
0.11,0.26,0
0.02,0.26,0.05
0.02,0.26,0.11
0.02,0.26,0.16
0.01,0.26,0.21
0.03,0.26,0.26
0.16,0.26,0.32
0.19,0.26,0.37
0.2,0.26,0.42
0.26,0.26,0.47
0.23,0.26,0.53
0.18,0.26,0.58
0.21,0.26,0.63
0.19,0.26,0.68
0.19,0.26,0.74
0.15,0.26,0.79
0.03,0.26,0.84
0.09,0.26,0.89
0.14,0.26,0.95
0.03,0.26,1
0.13,0.32,0
0.09,0.32,0.05
0.07,0.32,0.11
0.02,0.32,0.16
0.01,0.32,0.21
0.1,0.32,0.26
0.15,0.32,0.32
0.16,0.32,0.37
0.17,0.32,0.42
0.15,0.32,0.47
0.22,0.32,0.53
0.23,0.32,0.58
0.17,0.32,0.63
0.17,0.32,0.68
0.14,0.32,0.74
0.02,0.32,0.79
0.04,0.32,0.84
0.04,0.32,0.89
0.04,0.32,0.95
0.03,0.32,1
0.13,0.37,0
0.19,0.37,0.05
0.11,0.37,0.11
0.08,0.37,0.16
0.03,0.37,0.21
0.11,0.37,0.26
0.16,0.37,0.32
0.15,0.37,0.37
0.17,0.37,0.42
0.15,0.37,0.47
0.17,0.37,0.53
0.17,0.37,0.58
0.17,0.37,0.63
0.13,0.37,0.68
0.11,0.37,0.74
0.02,0.37,0.79
0.02,0.37,0.84
0.02,0.37,0.89
0.03,0.37,0.95
0.03,0.37,1
0.17,0.42,0
0.18,0.42,0.05
0.09,0.42,0.11
0.07,0.42,0.16
0.09,0.42,0.21
0.11,0.42,0.26
0.16,0.42,0.32
0.17,0.42,0.37
0.17,0.42,0.42
0.14,0.42,0.47
0.15,0.42,0.53
0.16,0.42,0.58
0.17,0.42,0.63
0.05,0.42,0.68
0.02,0.42,0.74
0.02,0.42,0.79
0.02,0.42,0.84
0.03,0.42,0.89
0.02,0.42,0.95
0.02,0.42,1
0.2,0.47,0
0.18,0.47,0.05
0.16,0.47,0.11
0.02,0.47,0.16
0.08,0.47,0.21
0.11,0.47,0.26
0.1,0.47,0.32
0.12,0.47,0.37
0.17,0.47,0.42
0.13,0.47,0.47
0.12,0.47,0.53
0.15,0.47,0.58
0.09,0.47,0.63
0.03,0.47,0.68
0.03,0.47,0.74
0.05,0.47,0.79
0.04,0.47,0.84
0.03,0.47,0.89
0.03,0.47,0.95
0.03,0.47,1
0.25,0.53,0
0.12,0.53,0.05
0.09,0.53,0.11
0.03,0.53,0.16
0.09,0.53,0.21
0.08,0.53,0.26
0.08,0.53,0.32
0.1,0.53,0.37
0.12,0.53,0.42
0.1,0.53,0.47
0.03,0.53,0.53
0.02,0.53,0.58
0.07,0.53,0.63
0.08,0.53,0.68
0.11,0.53,0.74
0.13,0.53,0.79
0.11,0.53,0.84
0.13,0.53,0.89
0.14,0.53,0.95
0.03,0.53,1
0.12,0.58,0
0.14,0.58,0.05
0.03,0.58,0.11
0.02,0.58,0.16
0.07,0.58,0.21
0.05,0.58,0.26
0.08,0.58,0.32
0.07,0.58,0.37
0.11,0.58,0.42
0.06,0.58,0.47
0.02,0.58,0.53
0.02,0.58,0.58
0.07,0.58,0.63
0.13,0.58,0.68
0.17,0.58,0.74
0.21,0.58,0.79
0.22,0.58,0.84
0.23,0.58,0.89
0.22,0.58,0.95
0.22,0.58,1
0.11,0.63,0
0.15,0.63,0.05
0.04,0.63,0.11
0.02,0.63,0.16
0.02,0.63,0.21
0.03,0.63,0.26
0.05,0.63,0.32
0.05,0.63,0.37
0.09,0.63,0.42
0.08,0.63,0.47
0.03,0.63,0.53
0.03,0.63,0.58
0.12,0.63,0.63
0.18,0.63,0.68
0.2,0.63,0.74
0.26,0.63,0.79
0.27,0.63,0.84
0.28,0.63,0.89
0.27,0.63,0.95
0.22,0.63,1
0.07,0.68,0
0.15,0.68,0.05
0.02,0.68,0.11
0.02,0.68,0.16
0.03,0.68,0.21
0.03,0.68,0.26
0.05,0.68,0.32
0.04,0.68,0.37
0.11,0.68,0.42
0.12,0.68,0.47
0.03,0.68,0.53
0.03,0.68,0.58
0.19,0.68,0.63
0.22,0.68,0.68
0.26,0.68,0.74
0.26,0.68,0.79
0.29,0.68,0.84
0.28,0.68,0.89
0.27,0.68,0.95
0.26,0.68,1
0.04,0.74,0
0.07,0.74,0.05
0.06,0.74,0.11
0.03,0.74,0.16
0.02,0.74,0.21
0.03,0.74,0.26
0.04,0.74,0.32
0.1,0.74,0.37
0.11,0.74,0.42
0.09,0.74,0.47
0.05,0.74,0.53
0.11,0.74,0.58
0.19,0.74,0.63
0.24,0.74,0.68
0.26,0.74,0.74
0.29,0.74,0.79
0.28,0.74,0.84
0.28,0.74,0.89
0.29,0.74,0.95
0.29,0.74,1
0.07,0.79,0
0.08,0.79,0.05
0.05,0.79,0.11
0.03,0.79,0.16
0.01,0.79,0.21
0.01,0.79,0.26
0.02,0.79,0.32
0.1,0.79,0.37
0.11,0.79,0.42
0.12,0.79,0.47
0.14,0.79,0.53
0.14,0.79,0.58
0.2,0.79,0.63
0.26,0.79,0.68
0.26,0.79,0.74
0.27,0.79,0.79
0.24,0.79,0.84
0.23,0.79,0.89
0.31,0.79,0.95
0.3,0.79,1
0.09,0.84,0
0.08,0.84,0.05
