p_height,p_length,p_width
1,0,0
1,0,0.018
1,0,0.036
1,0,0.055
1,0,0.073
1,0,0.091
1,0,0.109
1,0,0.127
1,0,0.145
1,0,0.164
1,0,0.182
1,0,0.2
1,0,0.218
0,0,0.236
0,0,0.255
0,0,0.273
0,0,0.291
0,0,0.309
0,0,0.327
0,0,0.345
0,0,0.364
0,0,0.382
0,0,0.4
0,0,0.418
0,0,0.436
0,0,0.455
0,0,0.473
0,0,0.491
0,0,0.509
0,0,0.527
0,0,0.545
0,0,0.564
0,0,0.582
0,0,0.6
0,0,0.618
0,0,0.636
0,0,0.655
0,0,0.673
0,0,0.691
0,0,0.709
0,0,0.727
0,0,0.745
0,0,0.764
0,0,0.782
0,0,0.8
0,0,0.818
0,0,0.836
0,0,0.855
0,0,0.873
0,0,0.891
0,0,0.909
0,0,0.927
0,0,0.945
0,0,0.964
0,0,0.982
1,0.018,0
1,0.018,0.018
1,0.018,0.036
1,0.018,0.055
1,0.018,0.073
1,0.018,0.091
1,0.018,0.109
1,0.018,0.127
1,0.018,0.145
1,0.018,0.164
1,0.018,0.182
0,0.018,0.2
0,0.018,0.218
0,0.018,0.236
0,0.018,0.255
0,0.018,0.273
0,0.018,0.291
0,0.018,0.309
0,0.018,0.327
0,0.018,0.345
0,0.018,0.364
0,0.018,0.382
0,0.018,0.4
0,0.018,0.418
0,0.018,0.436
0,0.018,0.455
0,0.018,0.473
0,0.018,0.491
0,0.018,0.509
0,0.018,0.527
0,0.018,0.545
0,0.018,0.564
0,0.018,0.582
0,0.018,0.6
0,0.018,0.618
0,0.018,0.636
0,0.018,0.655
0,0.018,0.673
0,0.018,0.691
0,0.018,0.709
0,0.018,0.727
0,0.018,0.745
0,0.018,0.764
0,0.018,0.782
0,0.018,0.8
0,0.018,0.818
0,0.018,0.836
0,0.018,0.855
0,0.018,0.873
0,0.018,0.891
0,0.018,0.909
0,0.018,0.927
0,0.018,0.945
0,0.018,0.964
0,0.018,0.982
1,0.036,0
1,0.036,0.018
0,0.036,0.036
1,0.036,0.055
0,0.036,0.073
1,0.036,0.091
1,0.036,0.109
1,0.036,0.127
1,0.036,0.145
0,0.036,0.164
0,0.036,0.182
0,0.036,0.2
0,0.036,0.218
0,0.036,0.236
0,0.036,0.255
0,0.036,0.273
0,0.036,0.291
0,0.036,0.309
0,0.036,0.327
0,0.036,0.345
0,0.036,0.364
0,0.036,0.382
0,0.036,0.4
0,0.036,0.418
0,0.036,0.436
0,0.036,0.455
0,0.036,0.473
0,0.036,0.491
0,0.036,0.509
0,0.036,0.527
0,0.036,0.545
0,0.036,0.564
0,0.036,0.582
0,0.036,0.6
0,0.036,0.618
0,0.036,0.636
